||=           Routine            =||=   min time(s)     =||=   mean time(s)    =||=   max time(s)     =||=     No. calls     =||=       %time       =||= time per call(s)  =||
||                    gungho_model||               144.44||               146.72||               147.71||                    1||             100.0000||             146.7205||
||           runtime_constants_alg||                 0.00||                 0.00||                 0.01||                    1||               0.0001||               0.0001||
||          mass_matrix_solver_alg||                 6.95||                 7.55||                 8.62||                  201||               5.1428||               0.0375||
||           runtime_constants.fem||                 2.18||                 2.32||                 3.02||                   31||               1.5790||               0.0747||
||     runtime_constants.geometric||                 1.35||                 1.66||                 1.83||                   17||               1.1314||               0.0976||
||              map_physics_fields||                13.60||                14.94||                18.18||                  201||              10.1836||               0.0743||
||         si_operators_alg:create||                 0.75||                 0.77||                 0.79||                    1||               0.5238||               0.7685||
||      semi_implicit_timestep_alg||               137.19||               137.21||               137.26||                  200||              93.5192||               0.6861||
||        si_operators_alg:compute||                 6.41||                 6.63||                 6.81||                   10||               4.5154||               0.6625||
||        runtime_constants.solver||                 0.00||                 0.01||                 0.01||                   17||               0.0045||               0.0004||
||        runtime_constants.dycore||                 0.92||                 0.96||                 1.29||                    7||               0.6563||               0.1376||
||                    slow_physics||                 0.48||                 2.65||                 4.51||                  200||               1.8072||               0.0133||
||            external_forcing_alg||                 0.44||                 2.60||                 4.46||                  200||               1.7711||               0.0130||
||                         rhs_alg||                 8.45||                 9.28||                11.61||                 1000||               6.3252||               0.0093||
||        gungho_transport_control||                39.83||                41.06||                42.03||                  400||              27.9860||               0.1027||
||     runtime_constants.transport||                 3.37||                 3.52||                 3.59||                    6||               2.4022||               0.5874||
||     transport.flux_precomp_init||                 0.17||                 0.24||                 0.30||                 3200||               0.1608||               0.0001||
||         transport.ffsl_vertical||                 5.01||                 5.17||                 5.80||                 4000||               3.5225||               0.0013||
||     transport.compute_dep_dists||                11.14||                12.96||                14.62||                 3200||               8.8324||               0.0040||
||          transport.get_ref_mass||                 0.16||                 0.21||                 0.30||                 2800||               0.1399||               0.0001||
||      transport.end_of_transport||                 1.12||                 1.26||                 2.62||                 6000||               0.8589||               0.0002||
||       transport.ffsl_horizontal||                22.48||                24.54||                25.86||                 2000||              16.7240||               0.0123||
||       transport.get_ref_mass_xy||                 0.17||                 0.20||                 0.23||                  800||               0.1378||               0.0003||
||      transport.ffsl_hori_sweeps||                 8.50||                 9.57||                11.43||                 4000||               6.5249||               0.0024||
||      transport.ffsl_hori_update||                 1.07||                 1.19||                 1.44||                 4000||               0.8106||               0.0003||
||         transport.build_up_flux||                 0.13||                 0.20||                 0.29||                  800||               0.1343||               0.0002||
||                  transport.wind||                11.84||                12.61||                13.31||                  400||               8.5921||               0.0315||
||         transport.wind_to_comps||                 2.42||                 2.77||                 3.60||                  400||               1.8882||               0.0069||
||       transport.wind_from_comps||                 1.77||                 2.04||                 2.28||                  400||               1.3899||               0.0051||
||          transport.get_ref_flux||                 0.06||                 0.08||                 0.12||                 1200||               0.0514||               0.0001||
||      transport.theta_dispersion||                 0.57||                 0.65||                 1.94||                  400||               0.4405||               0.0016||
||         transport.get_ref_field||                 0.03||                 0.04||                 0.08||                  800||               0.0269||               0.0000||
||                    fast_physics||                 0.03||                 0.04||                 0.06||                  400||               0.0285||               0.0001||
||        semi_implicit_solver_alg||                52.21||                54.07||                54.74||                  800||              36.8516||               0.0676||
||                    mixed_solver||                50.28||                52.07||                52.58||                  800||              35.4866||               0.0651||
||  mixed_schur_preconditioner_alg||                15.68||                16.77||                18.47||                 3195||              11.4309||               0.0052||
||                 mixed_schur rhs||                 1.80||                 1.98||                 2.17||                 3195||               1.3476||               0.0006||
||               mixed_schur solve||                11.27||                12.47||                14.21||                 3195||               8.5022||               0.0039||
||                   helmholtz lhs||                 5.47||                 6.79||                 8.53||                47925||               4.6309||               0.0001||
||           schur back substitute||                 2.06||                 2.30||                 3.73||                 3195||               1.5680||               0.0007||
||                  mixed_operator||                 8.14||                 8.96||                10.85||                 3195||               6.1061||               0.0028||
