||=           Routine            =||=   min time(s)     =||=   mean time(s)    =||=   max time(s)     =||=     No. calls     =||=       %time       =||= time per call(s)  =||
||                    gungho_model||                94.15||                94.60||                94.62||                    1||             100.0000||              94.6031||
||           runtime_constants_alg||                 0.00||                 0.00||                 0.00||                    1||               0.0001||               0.0000||
||          mass_matrix_solver_alg||                 5.33||                 5.73||                 6.37||                  101||               6.0586||               0.0567||
||           runtime_constants.fem||                 1.91||                 2.05||                 2.70||                   31||               2.1623||               0.0660||
||     runtime_constants.geometric||                 1.22||                 1.51||                 1.72||                   17||               1.5971||               0.0889||
||              map_physics_fields||                 6.58||                 7.22||                 8.85||                  101||               7.6297||               0.0715||
||         si_operators_alg:create||                 0.65||                 0.68||                 0.70||                    1||               0.7169||               0.6782||
||                      first_step||                13.41||                13.44||                13.48||                    1||              14.2058||              13.4391||
||      semi_implicit_timestep_alg||                76.15||                76.17||                76.22||                  100||              80.5197||               0.7617||
||        si_operators_alg:compute||                 4.12||                 4.26||                 4.37||                    5||               4.5064||               0.8526||
||        runtime_constants.solver||                 0.00||                 0.01||                 0.01||                   17||               0.0075||               0.0004||
||        runtime_constants.dycore||                 0.80||                 0.85||                 1.42||                    7||               0.9030||               0.1220||
||                    slow_physics||                 0.28||                 1.33||                 2.27||                  100||               1.4007||               0.0133||
||            external_forcing_alg||                 0.26||                 1.30||                 2.23||                  100||               1.3708||               0.0130||
||                         rhs_alg||                 6.56||                 7.27||                 8.17||                  500||               7.6843||               0.0145||
||        gungho_transport_control||                21.52||                22.07||                22.53||                  200||              23.3319||               0.1104||
||     runtime_constants.transport||                 1.37||                 1.63||                 3.01||                    6||               1.7239||               0.2718||
||     transport.flux_precomp_init||                 0.08||                 0.12||                 0.16||                 1600||               0.1299||               0.0001||
||         transport.ffsl_vertical||                 3.16||                 3.26||                 3.56||                 2000||               3.4413||               0.0016||
||     transport.compute_dep_dists||                 5.43||                 7.54||                 8.31||                 1600||               7.9673||               0.0047||
||          transport.get_ref_mass||                 0.08||                 0.11||                 0.16||                 1400||               0.1181||               0.0001||
||      transport.end_of_transport||                 0.55||                 0.61||                 0.71||                 3000||               0.6485||               0.0002||
||       transport.ffsl_horizontal||                12.12||                13.01||                13.59||                 1000||              13.7541||               0.0130||
||       transport.get_ref_mass_xy||                 0.08||                 0.10||                 0.12||                  400||               0.1049||               0.0002||
||      transport.ffsl_hori_sweeps||                 3.91||                 4.39||                 4.99||                 2000||               4.6372||               0.0022||
||      transport.ffsl_hori_update||                 0.40||                 0.48||                 0.63||                 2000||               0.5081||               0.0002||
||         transport.build_up_flux||                 0.07||                 0.10||                 0.14||                  400||               0.1095||               0.0003||
||                  transport.wind||                 5.86||                 6.22||                 6.59||                  200||               6.5698||               0.0311||
||         transport.wind_to_comps||                 1.11||                 1.25||                 1.69||                  200||               1.3220||               0.0063||
||       transport.wind_from_comps||                 1.30||                 1.47||                 1.62||                  200||               1.5561||               0.0074||
||          transport.get_ref_flux||                 0.03||                 0.04||                 0.05||                  600||               0.0406||               0.0001||
||      transport.theta_dispersion||                 0.27||                 0.31||                 0.41||                  200||               0.3249||               0.0015||
||         transport.get_ref_field||                 0.01||                 0.02||                 0.04||                  400||               0.0219||               0.0001||
||                    fast_physics||                 0.01||                 0.02||                 0.04||                  200||               0.0213||               0.0001||
||        semi_implicit_solver_alg||                27.56||                28.03||                28.93||                  400||              29.6293||               0.0701||
||                    mixed_solver||                26.62||                27.04||                27.39||                  400||              28.5873||               0.0676||
||  mixed_schur_preconditioner_alg||                 7.73||                 8.27||                 8.75||                 1595||               8.7375||               0.0052||
||                 mixed_schur rhs||                 0.91||                 1.02||                 1.18||                 1595||               1.0794||               0.0006||
||               mixed_schur solve||                 5.32||                 5.88||                 6.40||                 1595||               6.2110||               0.0037||
||                   helmholtz lhs||                 2.79||                 3.32||                 3.83||                23925||               3.5057||               0.0001||
||           schur back substitute||                 1.22||                 1.36||                 1.61||                 1595||               1.4363||               0.0009||
||                  mixed_operator||                 5.84||                 6.47||                 6.95||                 1595||               6.8395||               0.0041||
